store_id;hub_id;store_name;store_segment;store_plan_price;store_latitude;store_longitude
3;2;CUMIURI;FOOD;0;;
6;3;PIMGUCIS DA VIVA ;FOOD;0;-300.374.149;-5.120.352
8;3;RASMUR S ;FOOD;0;-300.374.149;-5.120.352
53;8;PAPA SUCIS ;FOOD;0;-22.921.475;-43.234.822
54;8;VUZPI PAZZIS ;FOOD;0;-22.921.475;-43.234.822
56;8;SUPSIO ;FOOD;49;-22.921.475;-43.234.822
58;8;PIAMUARIS ;FOOD;49;-22.921.475;-43.234.822
82;8;LUCITA ;FOOD;0;-22.921.475;-43.234.822
83;8;PRARIZZAI ;FOOD;0;-22.921.475;-43.234.822
84;8;PALLO MZU GRALA;FOOD;49;-22.921.475;-43.234.822
85;8;PRISMAURAI ;FOOD;0;-22.921.475;-43.234.822
88;8;EUGUSMI ;GOOD;0;-22.921.475;-43.234.822
89;8;LIS URPIMIOUS ;FOOD;49;-22.921.475;-43.234.822
90;8;CISI DA POI EU QUASI ;FOOD;49;-22.921.475;-43.234.822
95;8;ARE TRAMUO ;FOOD;49;-22.921.475;-43.234.822
96;5;PIRMI DA SIPIR ;FOOD;0;-230.007.498;-43.318.364
99;8;SIRVUMU AMILAI ;FOOD;0;-22.921.475;-43.234.822
100;8;LUPIMUIM ;FOOD;49.9;-22.921.475;-43.234.822
122;4;MASUCIE;GOOD;0;;
141;8;RO PRISMAUS ;FOOD;0;-22.921.475;-43.234.822
144;8;CIRIROI U CAI ;FOOD;49.9;-22.921.475;-43.234.822
149;8;IUMPICA ;FOOD;0;-22.921.475;-43.234.822
164;8;CLUPU RULASSI ;GOOD;0;-22.921.475;-43.234.822
187;13;LUCITA ;FOOD;49;-228.858.199;-432.792.183
189;13;USPUMUI CIRAICI ;FOOD;49;-228.858.199;-432.792.183
191;13;AR PAZZI ;FOOD;49;-228.858.199;-432.792.183
228;8;PUGUM ;GOOD;0;-229.241.443;-432.363.449
232;16;RIARI SIARI ;FOOD;0;-230.174.723;-434.799.389
236;13;IUMPICA ;FOOD;0;-228.858.199;-432.792.183
245;18;SUPSIO ;FOOD;0;-229.454.948;-431.821.807
261;18;AR TRAMUO ;FOOD;49;-229.454.948;-431.821.807
264;8;EMUOUS;GOOD;0;-229.241.443;-432.363.449
274;16;IUMPICA ;FOOD;0;-230.174.723;-434.799.389
294;13;PAPA SUCIS ;FOOD;0;-228.858.199;-432.792.183
295;8;AIEMAMIMU IU PRUSEM;GOOD;29.9;-22.921.475;-43.234.822
311;13;RISA PUM ;GOOD;29;-228.858.199;-432.792.183
321;17;IUMPICA ;FOOD;0;-235.920.041;-466.365.035
339;17;ARE TRAMUO ;FOOD;49.9;-235.920.041;-466.365.035
342;13;PIARIS;GOOD;0;;
345;13;ZIM ME MUMEUR ;FOOD;49;-228.860.986;-432.795.475
356;21;SPILUMI ;FOOD;49.9;-23.550.407;-466.973.162
357;22;PILIOU RAS ;FOOD;0;-230.007.532;-433.837.713
361;22;IPUPIEMAI ;FOOD;0;-230.007.532;-433.837.713
365;20;CIRILAMI SILUS ;FOOD;49.9;-22.996.848;-43.361.197
366;20;AR TRAMUO ;FOOD;49;-22.996.848;-43.361.197
367;20;MIUMSAU ;FOOD;49;-22.996.848;-43.361.197
370;20;PAZZI ZUM ;FOOD;49;-22.996.848;-43.361.197
371;20;LUCITA ;FOOD;0;-22.996.848;-43.361.197
373;20;CRUPULICOS ;FOOD;49;-22.996.848;-43.361.197
377;20;RIRURPIS;GOOD;0;-230.007.532;-433.837.713
378;21;OURAMIES ;FOOD;49.9;-23.550.407;-466.973.162
383;21;ACA PRISSURAU ;FOOD;49.9;-23.550.407;-466.973.162
387;22;REMFRUMIS ;FOOD;49;-230.007.532;-433.837.713
390;17;PAZZI ZUM ;FOOD;49.9;-235.920.041;-466.365.035
391;20;FAIARUMUI ;FOOD;0;-22.996.848;-43.361.197
399;13;PIARO ;FOOD;0;-228.843.321;-43.283.366
406;20;GARIOLIS ;FOOD;49;-230.007.532;-433.837.713
409;16;RC OUMILEES ;FOOD;0;-230.172.627;-434.791.238
414;13;SPILUMI ;FOOD;0;-22.886.644;-432.801.892
415;8;IPUPIEMAI ;FOOD;;-22.921.475;-43.234.822
416;21;IUMPICA ;FOOD;0;-23.550.407;-46.721.291
417;20;IUMPICA ;FOOD;0;-22.996.848;-43.361.197
426;20;ZIM M MUMEUR ;FOOD;;-22.996.848;-43.361.197
430;21;PIR DA ILUROI ;FOOD;0;-23.550.407;-46.721.291
435;16;SUSM GRALA;FOOD;49.9;-230.172.627;-434.791.238
439;16;CILAFIRMAI CIOLA ;FOOD;49.9;-230.172.627;-434.791.238
446;20;SIRLE FRA ;GOOD;29;-22.996.848;-43.361.197
447;21;PA PISACI ;GOOD;29;-23.550.407;-46.721.291
453;20;IRULAU CRUPURAU ;FOOD;49;-22.996.848;-43.361.197
462;18;CIFUAMI ;FOOD;49;-229.464.282;-431.823.091
476;20;PIARI FLIRUS ;GOOD;29;-22.996.848;-43.361.197
482;25;GIPUMZIGUM OPASI RIUSARI CIREARA ;GOOD;49.9;-235.677.027;-46.642.043
490;22;MATATA ;FOOD;49.9;-230.007.532;-433.837.713
491;16;I CISI DA PAMPE ;GOOD;29.9;-230.172.627;-434.791.238
493;25;PAZZI ZUM ;FOOD;49.9;-235.677.027;-46.642.043
495;25;IUMPICA ;FOOD;0;-235.623.285;-46.642.043
496;26;IUMPICA ;FOOD;;-235.630.195;-46.652.621
497;13;CISI DA URPIOU ;FOOD;0;-228.843.321;-43.283.366
501;25;RISIRA ;FOOD;49.9;-235.677.027;-46.642.043
508;20;GROI USPRUSSI ;FOOD;49;-22.996.848;-43.361.197
515;18;GULIMURAI RE ;FOOD;49;-229.464.282;-431.823.091
520;26;IRIR OIS PUOUMIS ;FOOD;49.9;-235.630.195;-46.652.621
524;3;ILA RIERUGI ;GOOD;49.9;-300.374.149;-5.120.352
525;25;PUCIRAMI  ;FOOD;49.9;-235.677.027;-46.642.043
529;20;GULIMURAI RE ;FOOD;49;-22.996.848;-43.361.197
531;16;CISUMPES ;FOOD;49.9;-230.172.627;-434.791.238
532;13;SIRLE FRA ;GOOD;29.9;-22.886.644;-432.801.892
540;22;UMIG ;GOOD;49;-230.007.532;-433.837.713
545;3;IAMUR ;FOOD;49.9;-300.374.149;-5.120.352
555;20;RIGU I CIGU ;FOOD;49;-22.996.848;-43.361.197
563;3;MZU PLICA PAF ;FOOD;49.9;-30.038.145;-5.120.352
564;20;PUMGUA ;FOOD;49.9;-22.996.848;-43.361.197
582;16;SPILUMI ;FOOD;49.9;-23.020.709;-434.897
585;21;MUMRIFAM ;GOOD;29.9;-23.550.407;-46.721.291
586;26;GULIMI PIRULA ;FOOD;49.9;-23.563.758;-46.652.621
587;8;PIARO ;FOOD;;-22.921.475;-43.234.822
590;20;VUG UP ;FOOD;49;-22.996.848;-43.361.197
591;27;MZU SUACU LIP ;FOOD;49.9;-23.622.995;-46.699.204
595;27;ZIVIMUI ;GOOD;49.9;-23.622.995;-46.699.204
599;21;LIFM ;GOOD;;-23.550.407;-46.721.291
600;21;GRIME CRU ;GOOD;29.9;-23.550.407;-46.721.291
603;27;GRIME CRU ;GOOD;29.9;-23.622.995;-46.699.204
604;16;SIRVUMU AMILAI ;FOOD;49.9;-23.020.709;-434.897
605;16;MIMAMI SAMU VAMUIGU ;GOOD;49.9;-23.020.709;-434.897
606;8;MAP MIP ;GOOD;;-22.921.475;-43.234.822
607;27;ECILUMI MI LISI FASACIO PASCIAMO ;FOOD;49.9;;
